date,dateStata,dateISO,year,month,item,quintiles,mean_decile_price
14,01-03-1989,1989-03-01,1989,3,White Loaf of Bread,4,.63433331
14,01-03-1989,1989-03-01,1989,3,White Loaf of Bread,5,.66655171
14,01-03-1989,1989-03-01,1989,3,Car Oil,5,2.4332259
14,01-03-1989,1989-03-01,1989,3,Eggs,3,.92900002
14,01-03-1989,1989-03-01,1989,3,White Loaf of Bread,3,.62
14,01-03-1989,1989-03-01,1989,3,White Loaf of Bread,1,.56269228
14,01-03-1989,1989-03-01,1989,3,Pasta,3,.44580644
14,01-03-1989,1989-03-01,1989,3,Eggs,1,.70517242
14,01-03-1989,1989-03-01,1989,3,Beef Mince,5,4.2651706
14,01-03-1989,1989-03-01,1989,3,White Loaf of Bread,2,.60794872
14,01-03-1989,1989-03-01,1989,3,Beef Mince,2,2.7417457
14,01-03-1989,1989-03-01,1989,3,Eggs,4,1.0703703
14,01-03-1989,1989-03-01,1989,3,Pasta,5,.51959997
14,01-03-1989,1989-03-01,1989,3,Pasta,1,.37741935
14,01-03-1989,1989-03-01,1989,3,Beef Mince,1,2.3995776
14,01-03-1989,1989-03-01,1989,3,Pasta,4,.47400001
14,01-03-1989,1989-03-01,1989,3,Eggs,5,1.2069565
14,01-03-1989,1989-03-01,1989,3,Pasta,2,.41657141
15,01-04-1989,1989-04-01,1989,4,Eggs,1,.71466666
15,01-04-1989,1989-04-01,1989,4,Pasta,5,.5575
15,01-04-1989,1989-04-01,1989,4,Pasta,1,.39071429
15,01-04-1989,1989-04-01,1989,4,Beef Mince,3,3.2278512
15,01-04-1989,1989-04-01,1989,4,Beef Mince,1,2.5586071
15,01-04-1989,1989-04-01,1989,4,Eggs,5,1.2127273
15,01-04-1989,1989-04-01,1989,4,White Loaf of Bread,4,.63690478
15,01-04-1989,1989-04-01,1989,4,White Loaf of Bread,1,.5642857
15,01-04-1989,1989-04-01,1989,4,Beef Mince,4,3.8432279
15,01-04-1989,1989-04-01,1989,4,Beef Mince,5,4.4653573
15,01-04-1989,1989-04-01,1989,4,Pasta,4,.48565218
15,01-04-1989,1989-04-01,1989,4,Pasta,2,.4226923
15,01-04-1989,1989-04-01,1989,4,Eggs,2,.83279997
15,01-04-1989,1989-04-01,1989,4,White Loaf of Bread,2,.60815793
15,01-04-1989,1989-04-01,1989,4,Eggs,4,1.0684615
15,01-04-1989,1989-04-01,1989,4,White Loaf of Bread,5,.67160004
15,01-04-1989,1989-04-01,1989,4,Beef Mince,2,2.8671365
15,01-04-1989,1989-04-01,1989,4,White Loaf of Bread,3,.62
15,01-04-1989,1989-04-01,1989,4,Eggs,3,.92500001
15,01-04-1989,1989-04-01,1989,4,Pasta,3,.44896552
16,01-05-1989,1989-05-01,1989,5,Beef Mince,3,3.2773252
16,01-05-1989,1989-05-01,1989,5,Beef Mince,1,2.6381953
16,01-05-1989,1989-05-01,1989,5,Car Oil,2,2.1214564
16,01-05-1989,1989-05-01,1989,5,White Loaf of Bread,3,.62589741
16,01-05-1989,1989-05-01,1989,5,Car Oil,3,2.2245736
16,01-05-1989,1989-05-01,1989,5,White Loaf of Bread,1,.56
16,01-05-1989,1989-05-01,1989,5,Beef Mince,4,3.8870478
16,01-05-1989,1989-05-01,1989,5,Eggs,1,.7214815
16,01-05-1989,1989-05-01,1989,5,Pasta,3,.44948718
16,01-05-1989,1989-05-01,1989,5,Eggs,3,.95625001
16,01-05-1989,1989-05-01,1989,5,Pasta,1,.40139535
16,01-05-1989,1989-05-01,1989,5,Beef Mince,5,4.4878912
16,01-05-1989,1989-05-01,1989,5,Pasta,4,.48434782
16,01-05-1989,1989-05-01,1989,5,Eggs,2,.87257141
16,01-05-1989,1989-05-01,1989,5,Car Oil,5,2.4759524
16,01-05-1989,1989-05-01,1989,5,Car Oil,4,2.3113923
16,01-05-1989,1989-05-01,1989,5,White Loaf of Bread,4,.64454544
16,01-05-1989,1989-05-01,1989,5,Car Oil,1,1.8386607
16,01-05-1989,1989-05-01,1989,5,White Loaf of Bread,5,.67076927
16,01-05-1989,1989-05-01,1989,5,Pasta,5,.54384613
16,01-05-1989,1989-05-01,1989,5,Eggs,4,1.08
16,01-05-1989,1989-05-01,1989,5,White Loaf of Bread,2,.60846156
16,01-05-1989,1989-05-01,1989,5,Beef Mince,2,2.9460685
16,01-05-1989,1989-05-01,1989,5,Eggs,5,1.2055
16,01-05-1989,1989-05-01,1989,5,Pasta,2,.43000001
17,01-06-1989,1989-06-01,1989,6,Beef Mince,4,3.9301944
17,01-06-1989,1989-06-01,1989,6,Car Oil,3,2.2293966
17,01-06-1989,1989-06-01,1989,6,Car Oil,1,1.8384112
17,01-06-1989,1989-06-01,1989,6,Car Oil,4,2.311111
17,01-06-1989,1989-06-01,1989,6,White Loaf of Bread,1,.56363636
17,01-06-1989,1989-06-01,1989,6,Eggs,1,.68799996
17,01-06-1989,1989-06-01,1989,6,Car Oil,2,2.1224244
17,01-06-1989,1989-06-01,1989,6,White Loaf of Bread,5,.67300004
17,01-06-1989,1989-06-01,1989,6,Beef Mince,5,4.46698
17,01-06-1989,1989-06-01,1989,6,White Loaf of Bread,4,.645625
17,01-06-1989,1989-06-01,1989,6,Pasta,1,.38999999
17,01-06-1989,1989-06-01,1989,6,Beef Mince,1,2.607275
17,01-06-1989,1989-06-01,1989,6,Car Oil,5,2.4806123
17,01-06-1989,1989-06-01,1989,6,White Loaf of Bread,2,.61226416
17,01-06-1989,1989-06-01,1989,6,Pasta,4,.48375002
17,01-06-1989,1989-06-01,1989,6,Beef Mince,2,2.9218905
17,01-06-1989,1989-06-01,1989,6,Eggs,4,1.0820833
17,01-06-1989,1989-06-01,1989,6,Eggs,2,.8573333
17,01-06-1989,1989-06-01,1989,6,Beef Mince,3,3.3252122
17,01-06-1989,1989-06-01,1989,6,Eggs,5,1.2185
17,01-06-1989,1989-06-01,1989,6,White Loaf of Bread,3,.63
17,01-06-1989,1989-06-01,1989,6,Pasta,2,.42285714
17,01-06-1989,1989-06-01,1989,6,Pasta,5,.54857141
17,01-06-1989,1989-06-01,1989,6,Pasta,3,.4497222
17,01-06-1989,1989-06-01,1989,6,Eggs,3,.97636366
18,01-07-1989,1989-07-01,1989,7,Pasta,1,.40474999
18,01-07-1989,1989-07-01,1989,7,Car Oil,2,2.1443925
18,01-07-1989,1989-07-01,1989,7,Car Oil,5,2.5638888
18,01-07-1989,1989-07-01,1989,7,White Loaf of Bread,2,.61381817
18,01-07-1989,1989-07-01,1989,7,Car Oil,4,2.3946087
18,01-07-1989,1989-07-01,1989,7,Eggs,3,.93535715
18,01-07-1989,1989-07-01,1989,7,Car Oil,3,2.2672
18,01-07-1989,1989-07-01,1989,7,Pasta,5,.5468421
18,01-07-1989,1989-07-01,1989,7,Eggs,4,1.07875
18,01-07-1989,1989-07-01,1989,7,Pasta,2,.44678572
18,01-07-1989,1989-07-01,1989,7,Beef Mince,5,4.4482055
18,01-07-1989,1989-07-01,1989,7,Car Oil,1,1.8292929
18,01-07-1989,1989-07-01,1989,7,Beef Mince,1,2.6019309
18,01-07-1989,1989-07-01,1989,7,Beef Mince,2,2.9359787
18,01-07-1989,1989-07-01,1989,7,Beef Mince,3,3.4050131
18,01-07-1989,1989-07-01,1989,7,Eggs,5,1.2370833
18,01-07-1989,1989-07-01,1989,7,Beef Mince,4,4.0174961
18,01-07-1989,1989-07-01,1989,7,White Loaf of Bread,1,.55805552
18,01-07-1989,1989-07-01,1989,7,Pasta,3,.46923077
18,01-07-1989,1989-07-01,1989,7,Eggs,1,.75073171
18,01-07-1989,1989-07-01,1989,7,White Loaf of Bread,4,.64533329
18,01-07-1989,1989-07-01,1989,7,White Loaf of Bread,5,.67531252
18,01-07-1989,1989-07-01,1989,7,White Loaf of Bread,3,.63
18,01-07-1989,1989-07-01,1989,7,Pasta,4,.48882353
18,01-07-1989,1989-07-01,1989,7,Eggs,2,.81800002
19,01-08-1989,1989-08-01,1989,8,Beef Mince,3,3.3926096
19,01-08-1989,1989-08-01,1989,8,Car Oil,2,2.2122936
19,01-08-1989,1989-08-01,1989,8,Beef Mince,5,4.5680857
19,01-08-1989,1989-08-01,1989,8,Car Oil,1,1.9076923
