price,item_id,dateStata,dateISO,month,deciles
.44999999,210204,01-04-1988,1988-04-01,4,7
.38,210204,01-04-1988,1988-04-01,4,2
.38999999,210204,01-04-1988,1988-04-01,4,3
.51999998,210204,01-04-1988,1988-04-01,4,10
.5,210204,01-04-1988,1988-04-01,4,9
.33000001,210204,01-04-1988,1988-04-01,4,1
.38999999,210204,01-04-1988,1988-04-01,4,3
.38999999,210204,01-04-1988,1988-04-01,4,3
.33000001,210204,01-04-1988,1988-04-01,4,1
.38999999,210204,01-04-1988,1988-04-01,4,3
.49000001,210204,01-04-1988,1988-04-01,4,9
.38999999,210204,01-04-1988,1988-04-01,4,3
.38,210204,01-04-1988,1988-04-01,4,2
.36000001,210204,01-04-1988,1988-04-01,4,2
.52999997,210204,01-04-1988,1988-04-01,4,10
.74000001,210204,01-04-1988,1988-04-01,4,10
.38999999,210204,01-04-1988,1988-04-01,4,3
.44999999,210204,01-04-1988,1988-04-01,4,7
.38999999,210204,01-04-1988,1988-04-01,4,3
.33000001,210204,01-04-1988,1988-04-01,4,1
.46000001,210204,01-04-1988,1988-04-01,4,8
.38999999,210204,01-04-1988,1988-04-01,4,3
.51999998,210204,01-04-1988,1988-04-01,4,10
.56,210204,01-04-1988,1988-04-01,4,10
.43000001,210204,01-04-1988,1988-04-01,4,7
.41,210204,01-04-1988,1988-04-01,4,5
.47,210204,01-04-1988,1988-04-01,4,8
.38,210204,01-04-1988,1988-04-01,4,2
.44999999,210204,01-04-1988,1988-04-01,4,7
.49000001,210204,01-04-1988,1988-04-01,4,9
.28999999,210204,01-04-1988,1988-04-01,4,1
.41,210204,01-04-1988,1988-04-01,4,5
.36000001,210204,01-04-1988,1988-04-01,4,2
.38,210204,01-04-1988,1988-04-01,4,2
.38999999,210204,01-04-1988,1988-04-01,4,3
.44999999,210204,01-04-1988,1988-04-01,4,7
.40000001,210204,01-04-1988,1988-04-01,4,5
.44999999,210204,01-04-1988,1988-04-01,4,7
.47999999,210204,01-04-1988,1988-04-01,4,8
.41999999,210204,01-05-1988,1988-05-01,5,6
.38999999,210204,01-05-1988,1988-05-01,5,3
.41,210204,01-05-1988,1988-05-01,5,5
.47,210204,01-05-1988,1988-05-01,5,8
.44999999,210204,01-05-1988,1988-05-01,5,7
.46000001,210204,01-05-1988,1988-05-01,5,8
.38,210204,01-05-1988,1988-05-01,5,2
.38,210204,01-05-1988,1988-05-01,5,2
.33000001,210204,01-05-1988,1988-05-01,5,1
.41999999,210204,01-05-1988,1988-05-01,5,6
.41,210204,01-05-1988,1988-05-01,5,5
.34,210204,01-05-1988,1988-05-01,5,2
.34,210204,01-05-1988,1988-05-01,5,2
.58999997,210204,01-05-1988,1988-05-01,5,10
.33000001,210204,01-05-1988,1988-05-01,5,1
.5,210204,01-05-1988,1988-05-01,5,9
.33000001,210204,01-05-1988,1988-05-01,5,1
.33000001,210204,01-05-1988,1988-05-01,5,1
.38999999,210204,01-05-1988,1988-05-01,5,3
.5,210204,01-05-1988,1988-05-01,5,9
.41,210204,01-05-1988,1988-05-01,5,5
.43000001,210204,01-05-1988,1988-05-01,5,7
.49000001,210204,01-05-1988,1988-05-01,5,9
.33000001,210204,01-05-1988,1988-05-01,5,1
.38999999,210204,01-05-1988,1988-05-01,5,3
.51999998,210204,01-05-1988,1988-05-01,5,10
.41,210204,01-05-1988,1988-05-01,5,5
.44999999,210204,01-05-1988,1988-05-01,5,7
.38999999,210204,01-05-1988,1988-05-01,5,3
.41,210204,01-05-1988,1988-05-01,5,5
.31999999,210204,01-05-1988,1988-05-01,5,1
.38999999,210204,01-05-1988,1988-05-01,5,3
.38999999,210204,01-05-1988,1988-05-01,5,3
.44999999,210204,01-05-1988,1988-05-01,5,7
.49000001,210204,01-05-1988,1988-05-01,5,9
.34999999,210204,01-05-1988,1988-05-01,5,2
.34,210204,01-05-1988,1988-05-01,5,2
.38,210204,01-05-1988,1988-05-01,5,2
.34999999,210204,01-05-1988,1988-05-01,5,2
.49000001,210204,01-05-1988,1988-05-01,5,9
.41999999,210204,01-05-1988,1988-05-01,5,6
.38999999,210204,01-05-1988,1988-05-01,5,3
.74000001,210204,01-05-1988,1988-05-01,5,10
.44,210204,01-05-1988,1988-05-01,5,7
.41,210204,01-05-1988,1988-05-01,5,5
.41999999,210204,01-05-1988,1988-05-01,5,6
.38999999,210204,01-05-1988,1988-05-01,5,3
.47,210204,01-05-1988,1988-05-01,5,8
.38999999,210204,01-05-1988,1988-05-01,5,3
.41,210204,01-05-1988,1988-05-01,5,5
.40000001,210204,01-05-1988,1988-05-01,5,5
.28999999,210204,01-05-1988,1988-05-01,5,1
.34,210204,01-05-1988,1988-05-01,5,2
.38999999,210204,01-05-1988,1988-05-01,5,3
.41,210204,01-05-1988,1988-05-01,5,5
.38999999,210204,01-05-1988,1988-05-01,5,3
.44999999,210204,01-05-1988,1988-05-01,5,7
.38999999,210204,01-05-1988,1988-05-01,5,3
.38999999,210204,01-05-1988,1988-05-01,5,3
.41999999,210204,01-05-1988,1988-05-01,5,6
.41,210204,01-05-1988,1988-05-01,5,5
.38999999,210204,01-05-1988,1988-05-01,5,3
.51999998,210204,01-05-1988,1988-05-01,5,10
.52999997,210204,01-05-1988,1988-05-01,5,10
.33000001,210204,01-05-1988,1988-05-01,5,1
.41999999,210204,01-05-1988,1988-05-01,5,6
.47,210204,01-05-1988,1988-05-01,5,8
.38999999,210204,01-05-1988,1988-05-01,5,3
.38,210204,01-05-1988,1988-05-01,5,2
.44999999,210204,01-05-1988,1988-05-01,5,7
.51999998,210204,01-05-1988,1988-05-01,5,10
.38999999,210204,01-05-1988,1988-05-01,5,3
.51999998,210204,01-05-1988,1988-05-01,5,10
.38999999,210204,01-05-1988,1988-05-01,5,3
.38999999,210204,01-05-1988,1988-05-01,5,3
.36000001,210204,01-05-1988,1988-05-01,5,2
.56,210204,01-05-1988,1988-05-01,5,10
.34999999,210204,01-05-1988,1988-05-01,5,2
.38999999,210204,01-05-1988,1988-05-01,5,3
.49000001,210204,01-05-1988,1988-05-01,5,9
.41,210204,01-05-1988,1988-05-01,5,5
.41,210204,01-05-1988,1988-05-01,5,5
.50999999,210204,01-05-1988,1988-05-01,5,10
.38,210204,01-05-1988,1988-05-01,5,2
.43000001,210204,01-05-1988,1988-05-01,5,7
.41999999,210204,01-05-1988,1988-05-01,5,6
.41,210204,01-05-1988,1988-05-01,5,5
.44999999,210204,01-05-1988,1988-05-01,5,7
.41,210204,01-05-1988,1988-05-01,5,5
.40000001,210204,01-05-1988,1988-05-01,5,5
.44999999,210204,01-05-1988,1988-05-01,5,7
.52999997,210204,01-05-1988,1988-05-01,5,10
.44999999,210204,01-05-1988,1988-05-01,5,7
.49000001,210204,01-05-1988,1988-05-01,5,9
.34999999,210204,01-05-1988,1988-05-01,5,2
.33000001,210204,01-05-1988,1988-05-01,5,1
.41,210204,01-05-1988,1988-05-01,5,5
.33000001,210204,01-05-1988,1988-05-01,5,1
.41,210204,01-05-1988,1988-05-01,5,5
.38999999,210204,01-05-1988,1988-05-01,5,3
.41,210204,01-05-1988,1988-05-01,5,5
.44999999,210204,01-05-1988,1988-05-01,5,7
.41,210204,01-05-1988,1988-05-01,5,5
.38999999,210204,01-05-1988,1988-05-01,5,3
.41,210204,01-05-1988,1988-05-01,5,5
.49000001,210204,01-05-1988,1988-05-01,5,9
.47,210204,01-05-1988,1988-05-01,5,8
.41999999,210204,01-05-1988,1988-05-01,5,6
.44999999,210204,01-05-1988,1988-05-01,5,7
.33000001,210204,01-05-1988,1988-05-01,5,1
.38999999,210204,01-05-1988,1988-05-01,5,3
.38999999,210204,01-05-1988,1988-05-01,5,3
.49000001,210204,01-05-1988,1988-05-01,5,9
.62,210204,01-05-1988,1988-05-01,5,10
.49000001,210204,01-05-1988,1988-05-01,5,9
.56,210204,01-05-1988,1988-05-01,5,10
.44999999,210204,01-05-1988,1988-05-01,5,7
.38999999,210204,01-05-1988,1988-05-01,5,3
.38999999,210204,01-05-1988,1988-05-01,5,3
.36000001,210204,01-05-1988,1988-05-01,5,2
.38999999,210204,01-05-1988,1988-05-01,5,3
.5,210204,01-05-1988,1988-05-01,5,9
.33000001,210204,01-05-1988,1988-05-01,5,1
.49000001,210204,01-05-1988,1988-05-01,5,9
.38,210204,01-05-1988,1988-05-01,5,2
.33000001,210204,01-05-1988,1988-05-01,5,1
.41,210204,01-06-1988,1988-06-01,6,4
.38999999,210204,01-06-1988,1988-06-01,6,2
.43000001,210204,01-06-1988,1988-06-01,6,7
.41,210204,01-06-1988,1988-06-01,6,4
.47999999,210204,01-06-1988,1988-06-01,6,8
.38999999,210204,01-06-1988,1988-06-01,6,2
.44999999,210204,01-06-1988,1988-06-01,6,7
.41,210204,01-06-1988,1988-06-01,6,4
.41,210204,01-06-1988,1988-06-01,6,4
.34999999,210204,01-06-1988,1988-06-01,6,1
.40000001,210204,01-06-1988,1988-06-01,6,4
.41,210204,01-06-1988,1988-06-01,6,4
.51999998,210204,01-06-1988,1988-06-01,6,10
.34999999,210204,01-06-1988,1988-06-01,6,1
.47,210204,01-06-1988,1988-06-01,6,8
.44999999,210204,01-06-1988,1988-06-01,6,7
.44999999,210204,01-06-1988,1988-06-01,6,7
.41,210204,01-06-1988,1988-06-01,6,4
.52999997,210204,01-06-1988,1988-06-01,6,10
.41999999,210204,01-06-1988,1988-06-01,6,6
.41,210204,01-06-1988,1988-06-01,6,4
.41,210204,01-06-1988,1988-06-01,6,4
.38999999,210204,01-06-1988,1988-06-01,6,2
.37,210204,01-06-1988,1988-06-01,6,2
.38999999,210204,01-06-1988,1988-06-01,6,2
.49000001,210204,01-06-1988,1988-06-01,6,9
.41999999,210204,01-06-1988,1988-06-01,6,6
.38,210204,01-06-1988,1988-06-01,6,2
.38999999,210204,01-06-1988,1988-06-01,6,2
.38999999,210204,01-06-1988,1988-06-01,6,2
